Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Finish,View,Amenities,Amenities_Count,Is_Installments
Apartment,cairo new cairo el yassamin el yasmeen 4 ali al sibai st,8750000.0,39773.0,220.0,3.0,3.0,1.0,1,Main Street,"Elevator, Water Meter, Security, Balcony",4,0
Apartment,north coast new alamein mntj t l lmyn ljdyd kmbwnd mzryn,25150000.0,116977.0,215.0,3.0,2.0,5.0,1,Main Street,"Elevator, Water Meter, Security, Swimming Pool, Balcony",5,1
Apartment,cairo new cairo madinaty tenth zone buildings group 103,7500000.0,37500.0,200.0,4.0,3.0,3.0,1,Main Street,"Elevator, Water Meter, Security, Parking, Balcony",5,0
Apartment,cairo new administrative capital hdyq l sm mdyn nwr mjmw tl t mstfy,5519000.0,46378.0,119.0,3.0,2.0,4.0,1,Garden,Garden,1,1
Apartment,cairo new cairo lmstqbl syty compounds lavenir,4200000.0,26250.0,160.0,3.0,3.0,1.0,1,Garden,"Elevator, Water Meter, Security, Swimming Pool, Garden, Balcony",6,0
Apartment,cairo hadayek el ahram mntq z,5940000.0,30000.0,198.0,3.0,3.0,1.0,1,Main Street,"Elevator, Water Meter, Security, Balcony",4,0
Villa,cairo el sheikh zayed city lshykh zyd ljdyd park valley diwan compound efid,7500000.0,28846.0,260.0,4.0,3.0,,1,Garden,Garden,1,1
Commercial,cairo 6th of october hadaeq october investors association,5280000.0,160000.0,33.0,,,0.0,1,Main Street,,0,1
Studio,cairo 6th of october compounds etlala compound,1000000.0,22222.0,45.0,1.0,1.0,1.0,1,Main Street,,0,1
Penthouse,cairo new cairo compounds trio gardens,8200000.0,51250.0,160.0,3.0,3.0,4.0,1,Main Street,"Security, Swimming Pool, Parking, Garden, Balcony",5,0
Apartment,cairo new cairo madinaty fourteenth zone buildings fourteenth zone buildings,8000000.0,106667.0,75.0,2.0,1.0,1.0,1,Garden,"Security, Garden",2,0
Apartment,cairo new cairo compounds the square,9500000.0,46798.0,203.0,4.0,3.0,1.0,1,Garden,"Elevator, Security, Parking, Garden",4,0
Studio,cairo 6th of october compounds etlala compound,1150000.0,23000.0,50.0,1.0,1.0,1.0,1,Garden,Garden,1,1
Commercial,cairo 6th of october hadaeq october investors association,2040000.0,170000.0,12.0,,,1.0,1,Main Street,,0,1
Apartment,the lark residence tamayoz,5800000.0,55769.0,104.0,2.0,2.0,2.0,1,Garden,"Elevator, Electricity Meter, Security, Swimming Pool, Garden, Balcony",6,1
Apartment,cairo new cairo compounds sarai taval sarai,5650000.0,33432.0,169.0,3.0,3.0,3.0,1,Other,,0,0
Apartment,cairo nasr city el tayaran,6000000.0,36364.0,165.0,3.0,2.0,2.0,1,Garden,"Elevator, Security, Garden, Balcony",4,0
Chalet,north coast resorts hacienda waters resort palm hills,9475000.0,91990.0,103.0,2.0,2.0,3.0,1,Other,,0,1
Office,cairo 6th of october hadaeq october compounds italian square,1250000.0,50000.0,25.0,,,2.0,1,Main Street,Parking,1,1
Villa,cairo el sheikh zayed city lshykh zyd ljdyd park valley diwan compound efid,7800000.0,30000.0,260.0,4.0,2.0,,1,Garden,Garden,1,1
Apartment,cairo heliopolis shareaa el nozha,5100000.0,30909.0,165.0,3.0,2.0,6.0,1,Main Street,,0,0
Apartment,cairo 6th of october el ahyaa neighborhood 4th school st,4000000.0,15385.0,260.0,3.0,3.0,1.0,1,Garden,Garden,1,0
Chalet,ain elsokhna resorts steigenberger resort ayalora alarinova,7968079.0,106241.0,75.0,1.0,1.0,1.0,1,Sea View,"Elevator, Water Meter, Security, Swimming Pool, Balcony",5,1
Apartment,cairo 6th of october compounds etlala compound,2300000.0,23000.0,100.0,2.0,1.0,2.0,1,Garden,Garden,1,1
Roof,cairo new cairo el narges el narges 2 el sheikh abd el aziz gawish st,6000000.0,27273.0,220.0,3.0,3.0,3.0,1,Side Street,,0,0
Commercial,cairo 6th of october hadaeq october compounds alico city,1394000.0,82000.0,17.0,,,1.0,1,Plaza,,0,1
Apartment,cairo 6th of october garb someed neighborhood 14th el nabatat st,9000000.0,30000.0,300.0,3.0,2.0,3.0,1,Other,,0,0
Villa,cairo el sheikh zayed city compounds el yasmeen compound,26000000.0,104000.0,250.0,7.0,6.0,,1,Garden,Garden,1,0
Villa,cairo 6th of october compounds grand heights,30000000.0,86957.0,345.0,5.0,5.0,,1,Other,,0,0
Villa,cairo 6th of october compounds grand heights,24000000.0,80808.0,297.0,4.0,4.0,,1,Garden,Garden,1,0
Building,cairo 6th of october el ahyaa neighborhood 5th street 2,25000000.0,83333.0,300.0,,,,1,Other,,0,0
Apartment,cairo 6th of october el hay el motamyz first touristic village el shaheed mohammed abdul latif alshimi st,5700000.0,35625.0,160.0,3.0,2.0,2.0,1,Other,,0,0
Villa,cairo el sheikh zayed city el hay elsabeaa lbstn,85000000.0,116438.0,730.0,13.0,14.0,,1,Garden,Garden,1,0
Villa,cairo el sheikh zayed city compounds el rabwa,35000000.0,116667.0,300.0,3.0,3.0,,1,Garden,Garden,1,0
Villa,cairo hadayek el ahram al mantaka s,28000000.0,30108.0,930.0,12.0,8.0,,1,Main Street,,0,0
Villa,cairo 6th of october garb someed neighborhood 9th,26500000.0,44167.0,600.0,9.0,9.0,,1,Corner,,0,0
Villa,cairo 6th of october compounds grand heights,25000000.0,72464.0,345.0,5.0,6.0,,1,Garden,Garden,1,0
Apartment,cairo nasr city el hay el asher ahmed el zomor,5400000.0,25116.0,215.0,3.0,2.0,2.0,1,Main Street,,0,1
Apartment,cairo new cairo bait el watan second neighborhood,7435800.0,30726.0,242.0,3.0,2.0,1.0,1,Main Street,"Elevator, Parking, Balcony",3,1
Apartment,cairo new cairo compounds veloria compound regency,3700000.0,38947.0,95.0,2.0,1.0,1.0,1,Garden,Garden,1,1
Apartment,cairo new cairo compounds mwrd fq llttwyr,12500000.0,58140.0,215.0,3.0,3.0,2.0,1,Plaza,"Elevator, Water Meter, Security, Balcony",4,1
Commercial,cairo 6th of october hadaeq october tryq hmd zwyl,6432140.0,142936.0,45.0,,,1.0,1,Main Street,"Water Meter, Security, Parking, Garden",4,1
Apartment,cairo new cairo bait el watan first neighborhood,4977500.0,25526.0,195.0,3.0,3.0,1.0,1,Main Street,,0,0
Office,cairo new cairo compounds mivida mivida business park emaar,130000000.0,246212.0,528.0,,,0.0,1,Main Street,,0,0
Duplex,cairo new cairo compounds kmbwnd kryk twn il cazar,17800000.0,91282.0,195.0,3.0,4.0,1.0,1,Garden,Garden,1,1
Apartment,cairo elnozha el nozha el gedida,4600000.0,27879.0,165.0,,,,1,Side Street,,0,0
Penthouse,cairo heliopolis el marghany el sayed el merghany st,22000000.0,27500.0,800.0,5.0,5.0,11.0,1,Side Street,,0,0
Office,cairo new administrative capital r3 jade park compound city edge,38000000.0,395833.0,96.0,,,,1,Main Street,,0,1
Apartment,cairo nasr city el hay el asher ahmed el zomor,2700000.0,23478.0,115.0,2.0,1.0,2.0,1,Side Street,,0,1
Office,cairo 6th of october hadaeq october tryq hmd zwyl,1955993.0,57529.0,34.0,1.0,1.0,3.0,1,Main Street,"Elevator, Water Meter, Electricity Meter, Security, Parking",5,1
Apartment,cairo 6th of october hadaeq october compounds djlh blmz m mr lmrshdy,2500000.0,31250.0,80.0,2.0,1.0,4.0,0,Garden,"Security, Garden",2,1
Penthouse,cairo new cairo compounds mountain view hyde park,9500000.0,57229.0,166.0,2.0,3.0,4.0,1,Garden,"Elevator, Water Meter, Security, Parking, Garden",5,0
Apartment,cairo heliopolis heliopolis square mohammed farid st,4800000.0,28235.0,170.0,3.0,2.0,10.0,1,Main Street,,0,0
Villa,cairo new cairo compounds mountain view1 1 compound,15900000.0,64898.0,245.0,3.0,4.0,4.0,1,Garden,"Elevator, Water Meter, Security, Garden, Balcony",5,1
Commercial,cairo 6th of october jml bd lnsr,6750000.0,75000.0,90.0,,,0.0,1,Main Street,,0,0
Apartment,cairo 6th of october compounds tesla residence compound,3970000.0,30775.0,129.0,3.0,3.0,3.0,1,Lake,"Elevator, Water Meter, Security, Balcony",4,0
Apartment,cairo new cairo compounds blm hylz nyw kyrw,15500000.0,62000.0,250.0,3.0,3.0,2.0,1,Garden,Garden,1,0
Apartment,cairo 6th of october el tawsaat el shamalya ltws t lsyhy lshmly,5700000.0,28500.0,200.0,3.0,2.0,1.0,1,Side Street,,0,0
Villa,cairo new cairo compounds villette kmbwnd sky kwndwz swdyk villette,66500000.0,147778.0,450.0,5.0,6.0,,1,Garden,Garden,1,0
Apartment,cairo faisal el matbeaa amr ibn al aas st,910000.0,8667.0,105.0,2.0,3.0,2.0,1,Side Street,,0,1
Villa,cairo el sheikh zayed city compounds,6700000.0,24364.0,275.0,4.0,4.0,,1,Garden,Garden,1,1
Medical,cairo el sheikh zayed city lhy lsb shr,5712000.0,84000.0,68.0,1.0,1.0,0.0,1,Main Street,,0,1
Apartment,cairo 6th of october hadaeq october compounds eco west compound new city development asia,2000000.0,22222.0,90.0,,,,1,Garden,Garden,1,1
Commercial,cairo 6th of october jml bd lnsr,3248000.0,112000.0,29.0,,,0.0,1,Main Street,,0,0
Apartment,cairo faisal el matbeaa amr ibn al aas st,900000.0,9000.0,100.0,2.0,2.0,9.0,1,Side Street,,0,1
Apartment,cairo el sheikh zayed city compounds the harv compound dal,6700000.0,57759.0,116.0,2.0,1.0,2.0,1,Garden,Garden,1,1
Office,cairo el sheikh zayed city lhy lsb shr,5720000.0,88000.0,65.0,1.0,1.0,0.0,1,Main Street,,0,1
Apartment,cairo faisal el matbeaa amr ibn al aas st,1220000.0,7871.0,155.0,3.0,2.0,2.0,1,Side Street,,0,1
Villa,cairo el sheikh zayed city lshykh zyd ljdyd,7854000.0,30208.0,260.0,4.0,4.0,,1,Garden,Garden,1,1
Office,cairo el sheikh zayed city lhy lsb shr,5104000.0,88000.0,58.0,1.0,1.0,0.0,1,Main Street,,0,1
Apartment,cairo faisal el matbeaa amr ibn al aas st,1210000.0,7806.0,155.0,3.0,2.0,3.0,1,Side Street,,0,1
Villa,cairo el sheikh zayed city mntq fr y bmdyn lshykh zyd,7348000.0,32228.0,228.0,4.0,4.0,,1,Garden,Garden,1,1
Apartment,cairo new cairo compounds yardin compound mass,4911192.0,46332.0,106.0,2.0,1.0,1.0,1,Garden,Garden,1,1
Commercial,cairo el shorouk tryq lshbb,6511000.0,110356.0,59.0,,,1.0,1,Plaza,,0,0
Chalet,ain elsokhna resorts el glala azure convoy,2118000.0,38509.0,55.0,1.0,1.0,2.0,1,Pool,"Elevator, Water Meter, Security, Swimming Pool, Balcony",5,1
Medical,cairo el sheikh zayed city compounds sky ramp mall up wyde,3449500.0,127759.0,27.0,1.0,1.0,1.0,1,Plaza,"Elevator, Water Meter, Electricity Meter, Security",4,1
Apartment,cairo new cairo ganob el akadamiya south academy a abo zarr el ghifari st,8500000.0,38636.0,220.0,3.0,3.0,2.0,1,Garden,Garden,1,0
Apartment,cairo el sheikh zayed city lshykh zyd ljdyd de joya taj misr new zayed,9797760.0,72576.0,135.0,3.0,2.0,2.0,1,Main Street,,0,1
Apartment,cairo new cairo south investors al gezira st,5200000.0,23636.0,220.0,3.0,2.0,,1,Main Street,Garden,1,0
Medical,cairo new cairo compounds wzwn ltby ktlyst llttwyr,4560000.0,120000.0,38.0,1.0,1.0,3.0,1,Main Street,,0,1
Land,cairo al oubour arab engineers association,32000000.0,3810.0,8400.0,,,,1,Main Street,,0,0
Apartment,cairo new administrative capital r8 sage lakes residence squares,4050000.0,27000.0,150.0,3.0,3.0,1.0,1,Garden,Garden,1,1
Apartment,cairo new cairo compounds sarai esse residence sarai,5580000.0,31173.0,179.0,3.0,2.0,4.0,1,Garden,Garden,1,1
Medical,cairo new cairo el kornfol el kornfol 1,7560000.0,140000.0,54.0,1.0,1.0,2.0,1,Other,,0,1
Studio,red sea hurghada resorts la mora resort,3162000.0,51000.0,62.0,1.0,1.0,4.0,1,Garden,Garden,1,0
Office,cairo faisal shareaa el malek fasel,5000000.0,16077.0,311.0,8.0,5.0,2.0,1,Main Street,,0,1
Office,cairo new cairo compounds district 5 the plateau district 5,14950000.0,130000.0,115.0,,,0.0,1,Main Street,,0,0
Apartment,cairo new cairo el narges el narges omarat beirut st,8500000.0,34694.0,245.0,3.0,3.0,,1,Main Street,,0,0
Apartment,cairo new cairo bait el watan first neighborhood,4000000.0,17391.0,230.0,230.0,2.0,3.0,1,Garden,"Elevator, Security, Garden, Balcony",4,0
Studio,red sea hurghada resorts la mora resort,3162000.0,51000.0,62.0,1.0,1.0,4.0,1,Main Street,,0,0
Apartment,cairo faisal shareaa el malek fasel,1250000.0,8065.0,155.0,3.0,2.0,4.0,1,Side Street,,0,1
Apartment,cairo new cairo compounds the square,8000000.0,43243.0,185.0,3.0,3.0,1.0,1,Garden,"Elevator, Security, Garden, Balcony",4,0
Studio,cairo el sheikh zayed city compounds zyd wr llttwyr z tower,6000000.0,107143.0,56.0,1.0,1.0,5.0,1,Garden,Garden,1,1
Studio,red sea hurghada resorts la mora resort,3225240.0,52020.0,62.0,1.0,1.0,3.0,1,Garden,Garden,1,0
Duplex,cairo new cairo compounds trio gardens,13000000.0,53061.0,245.0,3.0,4.0,2.0,1,Main Street,Garden,1,0
Medical,cairo el shorouk compounds hana medical complex z group,4000000.0,100000.0,40.0,1.0,1.0,0.0,1,Main Street,,0,0
Office,cairo new cairo compounds hyde park centre ville hyde park,16640000.0,130000.0,128.0,,,0.0,1,Main Street,,0,0
Apartment,cairo new cairo el lotus lotus south,4150000.0,24128.0,172.0,3.0,3.0,4.0,1,Other,,0,0
Commercial,damietta mdyn dmyt ljdyd mntq lshlyht lmrhl 2,11770500.0,199500.0,59.0,,,1.0,1,Main Street,,0,1
Duplex,cairo new cairo el lotus lotus south,6500000.0,30952.0,210.0,3.0,3.0,3.0,1,Side Street,"Elevator, Water Meter, Natural Gas, Parking, Balcony",5,0
Studio,red sea hurghada resorts la mora resort,3162000.0,51000.0,62.0,1.0,1.0,4.0,1,Main Street,,0,0
Medical,cairo el shorouk compounds hana medical complex z group,4000000.0,100000.0,40.0,1.0,1.0,0.0,1,Main Street,,0,0
Apartment,cairo new cairo bait el watan second neighborhood,5050000.0,25765.0,196.0,3.0,3.0,3.0,1,Other,,0,1
Studio,red sea hurghada resorts la mora resort,3162000.0,51000.0,62.0,1.0,1.0,1.0,1,Garden,Garden,1,0
Apartment,cairo new heliopolis lhy lthny,2163000.0,18025.0,120.0,2.0,3.0,3.0,1,Main Street,,0,1
Apartment,red sea hurghada resorts la mora resort,4508400.0,53040.0,85.0,2.0,1.0,2.0,1,Pool,,0,0
Apartment,red sea hurghada resorts la mora resort,4508400.0,53040.0,85.0,2.0,1.0,3.0,1,Pool,,0,0
Apartment,red sea hurghada resorts la mora resort,4508400.0,53040.0,85.0,2.0,1.0,1.0,1,Pool,,0,0
Apartment,red sea hurghada resorts la mora resort,3978000.0,55250.0,72.0,2.0,1.0,1.0,1,Pool,,0,0
Studio,red sea hurghada resorts la mora resort,3162000.0,51000.0,62.0,1.0,1.0,4.0,1,Garden,Garden,1,0
Apartment,red sea hurghada resorts la mora resort,4720560.0,55536.0,85.0,2.0,1.0,1.0,1,Pool,,0,0
Apartment,red sea hurghada resorts la mora resort,4508400.0,53040.0,85.0,2.0,1.0,4.0,1,Pool,,0,0
Apartment,cairo 6th of october hadaeq october compounds address home 2 compound arkan,4150000.0,31203.0,133.0,3.0,3.0,2.0,1,Main Street,"Elevator, Security, Swimming Pool, Balcony",4,1
Penthouse,cairo new cairo compounds galleria moon valley compound arabia,12300000.0,41137.0,299.0,4.0,3.0,3.0,1,Main Street,"Elevator, Water Meter, Security, Balcony",4,0
Apartment,cairo el shorouk compounds palm capital compound tg developments,4650000.0,28704.0,162.0,3.0,3.0,0.0,1,Garden,Garden,1,1
Apartment,cairo el sheikh zayed city compounds zyd wr llttwyr park towers zed el sheikh zayed compound,6400000.0,62745.0,102.0,2.0,2.0,3.0,1,Side Street,"Elevator, Water Meter, Security, Parking",4,0
Apartment,cairo nasr city el hay el asher ahmed el zomor,3400000.0,22667.0,150.0,3.0,1.0,3.0,1,Side Street,,0,1
Apartment,cairo 6th of october el wahatt road,3612000.0,28000.0,129.0,3.0,2.0,1.0,1,Main Street,,0,1
Commercial,cairo 6th of october hadaeq october compounds italian square,2500000.0,178571.0,14.0,,,1.0,1,Main Street,,0,1
Apartment,cairo new cairo el lotus lotus south,5500000.0,44715.0,123.0,2.0,2.0,3.0,1,Main Street,"Natural Gas, Electricity Meter, Parking, Balcony",4,0
Apartment,cairo new cairo compounds kmbwnd ldf lwtny,4200000.0,32308.0,130.0,2.0,1.0,,1,Side Street,,0,0
Apartment,cairo new cairo compounds the address east,6300000.0,45000.0,140.0,3.0,2.0,2.0,1,Garden,Garden,1,1
Apartment,cairo new heliopolis lhy lthny,2400000.0,15686.0,153.0,3.0,1.0,4.0,1,Main Street,,0,0
Office,cairo 6th of october hadaeq october compounds baet el masria,2660000.0,52157.0,51.0,2.0,1.0,2.0,1,Main Street,,0,1
Apartment,cairo new cairo el lotus lotus north lmntq lwl llwts lshmly,7500000.0,34562.0,217.0,3.0,3.0,4.0,1,Main Street,"Elevator, Water Meter, Security, Parking",4,0
Apartment,cairo new cairo compounds the icon gardens compound style home,3720000.0,33818.0,110.0,2.0,1.0,3.0,1,Garden,Garden,1,1
Apartment,cairo new cairo gharb arabila doctor hani maher st,7500000.0,31915.0,235.0,3.0,3.0,1.0,1,Main Street,"Elevator, Water Meter, Natural Gas, Security, Parking, Balcony",6,0
Apartment,cairo new cairo south investors gamal abdel nasser st,4000000.0,22222.0,180.0,3.0,3.0,1.0,1,Main Street,"Elevator, Water Meter, Garden, Balcony",4,0
Apartment,cairo new cairo compounds trio gardens,7651000.0,51007.0,150.0,3.0,3.0,2.0,1,Main Street,"Elevator, Natural Gas, Security, Parking, Garden",5,0
Villa,cairo new cairo compounds trio gardens,13500000.0,60000.0,225.0,4.0,5.0,,1,Garden,Garden,1,0
Commercial,cairo 6th of october hadaeq october tryq hmd zwyl,4411440.0,133680.0,33.0,,,0.0,1,Main Street,,0,1
Office,cairo 6th of october hadaeq october compounds italian square,2660000.0,70000.0,38.0,2.0,2.0,2.0,1,Main Street,"Elevator, Water Meter, Security, Parking, Garden",5,1
Apartment,cairo new cairo compounds stwn ryzydns by ar y llttwyr,8500000.0,48571.0,175.0,3.0,3.0,2.0,1,Garden,"Elevator, Water Meter, Security, Garden, Balcony",5,0
Apartment,cairo new cairo el lotus lotus south,6500000.0,41935.0,155.0,2.0,2.0,0.0,1,Side Street,Garden,1,0
Apartment,cairo new cairo compounds mivida mivida parcel,17500000.0,87500.0,200.0,3.0,3.0,1.0,1,Garden,Garden,1,0
Apartment,cairo new cairo compounds el ashrafia,8900000.0,48108.0,185.0,3.0,3.0,1.0,1,Side Street,,0,1
Apartment,cairo 6th of october hadaeq october mukhabarat land,2600000.0,14525.0,179.0,3.0,2.0,1.0,1,Main Street,,0,0
Office,cairo 6th of october hadaeq october compounds italian square,2550000.0,50000.0,51.0,,,1.0,1,Main Street,"Electricity Meter, Parking",2,1
Penthouse,cairo new cairo compounds mountain view hyde park,9500000.0,57229.0,166.0,2.0,2.0,5.0,1,Main Street,"Elevator, Water Meter, Security, Swimming Pool",4,0
Commercial,cairo new cairo 90th street south teseen st,80000000.0,173913.0,460.0,,,1.0,1,Main Street,,0,0
Apartment,cairo new cairo south investors al gezira st,5100000.0,23182.0,220.0,3.0,2.0,3.0,1,Garden,Garden,1,0
Office,cairo el maadi zahraa el maadi zahraa el maadi st,29000000.0,38667.0,750.0,13.0,3.0,7.0,1,Main Street,,0,0
Penthouse,cairo new cairo compounds stwn ryzydns by ar y llttwyr,8800000.0,40000.0,220.0,3.0,3.0,5.0,0,Garden,"Elevator, Water Meter, Security, Swimming Pool, Parking, Garden, Balcony",7,0
Apartment,cairo new cairo compounds fifth square,8500000.0,57823.0,147.0,3.0,2.0,2.0,1,Other,Garden,1,0
Apartment,cairo nasr city abbas el akkad,5000000.0,30303.0,165.0,3.0,2.0,5.0,1,Main Street,"Elevator, Security, Parking",3,0
Apartment,cairo new cairo compounds el ashrafia,4000000.0,38835.0,103.0,2.0,1.0,1.0,1,Garden,"Water Meter, Natural Gas, Electricity Meter, Security, Garden, Balcony",6,0
Villa,cairo new cairo compounds sarai rai,24786987.0,88525.0,280.0,5.0,5.0,,1,Pool,"Water Meter, Security, Swimming Pool, Balcony",4,1
Office,alexandria smouha Muruj,13750000.0,110000.0,125.0,2.0,2.0,1.0,1,Main Street,,0,1
Apartment,cairo new cairo lrhb city,5500000.0,61111.0,90.0,2.0,1.0,3.0,1,Main Street,,0,0
Apartment,cairo new cairo bait el watan fourth neighborhood,3450000.0,25556.0,135.0,2.0,2.0,3.0,1,Main Street,,0,1
Apartment,cairo nasr city el hay el asher ahmed el zomor,5400000.0,25116.0,215.0,3.0,2.0,2.0,1,Main Street,,0,1
Duplex,cairo new cairo el lotus lotus south,6500000.0,20313.0,320.0,4.0,3.0,0.0,1,Side Street,Garden,1,1
Apartment,cairo faisal,1250000.0,8333.0,150.0,3.0,3.0,1.0,1,Side Street,,0,1
Apartment,cairo new cairo el narges el narges 3 mohamed hashem fouad st,7250000.0,30208.0,240.0,3.0,2.0,3.0,1,Garden,Garden,1,0
Apartment,cairo new cairo lrhb city mtdd lrhb phase 7,9500000.0,52778.0,180.0,3.0,2.0,2.0,1,Main Street,,0,0
Duplex,cairo nasr city 9th zone ahmed el zomor st,22000000.0,36667.0,600.0,,,,1,Main Street,,0,0
Apartment,cairo nasr city el hay el asher ahmed el zomor,5100000.0,25500.0,200.0,3.0,2.0,2.0,1,Main Street,,0,1
Apartment,cairo new cairo el andalous,4100000.0,25625.0,160.0,3.0,2.0,2.0,1,Garden,Garden,1,0
Apartment,cairo new cairo madinaty eleventh zone buildings madinaty b 11,6800000.0,58621.0,116.0,3.0,2.0,2.0,1,Garden,Garden,1,0
Apartment,cairo nasr city el hay el asher ahmed el zomor,3800000.0,23030.0,165.0,3.0,2.0,2.0,1,Side Street,,0,1
Apartment,cairo new cairo south investors al gezira st,2900000.0,22308.0,130.0,2.0,1.0,2.0,1,Garden,"Elevator, Garden",2,0
Apartment,cairo nasr city el hay el asher ahmed el zomor,3800000.0,23750.0,160.0,3.0,2.0,2.0,1,Side Street,,0,1
Apartment,cairo new cairo bait el watan first neighborhood,4250000.0,23611.0,180.0,3.0,3.0,2.0,1,Side Street,,0,1
Apartment,cairo nasr city el hay el asher ahmed el zomor,3400000.0,22667.0,150.0,3.0,2.0,3.0,1,Side Street,,0,1
Apartment,cairo new cairo el andalous al andalus 1,4100000.0,27333.0,150.0,3.0,2.0,3.0,1,Garden,"Water Meter, Natural Gas, Electricity Meter, Security, Garden, Balcony",6,0
Apartment,cairo new cairo compounds sarai elan sarai compound,4500000.0,34091.0,132.0,3.0,2.0,3.0,1,Garden,"Elevator, Water Meter, Security, Garden, Balcony",5,1
Commercial,cairo new administrative capital mu23 stone capital mall emerald,5000000.0,131579.0,38.0,,,2.0,1,Main Street,,0,0
Apartment,alexandria smouha Muruj,12720000.0,60000.0,212.0,4.0,3.0,13.0,1,Club,,0,1
Duplex,cairo nasr city 9th zone ahmed el zomor st,22000000.0,36667.0,600.0,,,,1,Main Street,,0,0
Office,cairo faisal shareaa el malek fasel,5000000.0,16667.0,300.0,8.0,5.0,2.0,1,Main Street,,0,1
Penthouse,cairo new cairo gharb arabila doctor hani maher st,14000000.0,35000.0,400.0,3.0,3.0,3.0,1,Main Street,,0,0
Building,cairo 6th of october el tawsaat el shamalya hy 2000 qt,20000000.0,41667.0,480.0,,,,1,Side Street,,0,0
Apartment,cairo new cairo compounds valencia valley compound ncb,2785000.0,28131.0,99.0,2.0,1.0,5.0,1,Garden,"Water Meter, Natural Gas, Electricity Meter, Security, Garden, Balcony",6,1
Apartment,cairo new cairo lrhb city phase 7,7100000.0,43827.0,162.0,3.0,3.0,3.0,1,Garden,Garden,1,0
Commercial,cairo nasr city abbas el akkad,45000000.0,45000.0,1000.0,,,1.0,1,Main Street,,0,0
Apartment,cairo faisal,1250000.0,8333.0,150.0,3.0,3.0,1.0,1,Side Street,,0,1
Apartment,cairo new cairo compounds tag city origami gardens taj city compound,11838000.0,91062.0,130.0,2.0,2.0,5.0,1,Lake,Garden,1,1
Duplex,cairo new cairo el ahyaa first neighborhood street 3,10500000.0,35000.0,300.0,3.0,3.0,0.0,1,Garden,Garden,1,0
Apartment,cairo new cairo compounds sarai elan sarai compound,5970000.0,42042.0,142.0,3.0,3.0,0.0,1,Garden,Garden,1,1
Apartment,cairo el shorouk lmntq lrb neighbourhood 5,2900000.0,16111.0,180.0,3.0,2.0,3.0,1,Main Street,,0,0
